OH_HandwashBeforeEating,MH_CloseFriendsCount,SMK_CurrentlySmokeVape,DRUG_SourceDrug,Risk_Level
'Most of the time','3 or more',No,'Not Applicable',Medium
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',Yes,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',High
Always,0,Yes,Friend,High
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',Yes,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',Yes,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',Yes,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,0,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,1,No,'Not Applicable',Low
Rarely,'3 or more',No,'Not Applicable',Low
Always,'3 or more',Yes,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',Yes,'Not Applicable',Low
Rarely,'3 or more',Yes,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Sometimes,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',Yes,'Not Applicable',Low
Sometimes,'3 or more',No,'Not Applicable',Low
Always,1,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
'Most of the time',2,No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
Always,1,No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Always,'3 or more',Yes,'Not Applicable',Low
'Most of the time',2,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,1,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,0,No,'Not Applicable',High
Always,2,Yes,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Medium
'Most of the time','3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Rarely,2,No,Stole,High
'Most of the time','3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Rarely,2,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
Always,'3 or more',Yes,'Not Applicable',High
Always,2,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,1,No,'Not Applicable',Low
Rarely,'3 or more',Yes,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Sometimes,'3 or more',No,'Not Applicable',Low
Sometimes,'3 or more',No,'Not Applicable',Low
Sometimes,'3 or more',No,'Not Applicable',Medium
Always,'3 or more',No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
Sometimes,'3 or more',No,'Not Applicable',Low
Sometimes,'3 or more',No,'Not Applicable',Low
Rarely,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,1,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Medium
Always,'3 or more',No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Medium
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Rarely,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
Rarely,'3 or more',No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Medium
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Medium
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Sometimes,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Never,'3 or more',Yes,'Not Applicable',Low
Always,'3 or more',Yes,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Sometimes,'3 or more',Yes,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',High
Always,'3 or more',No,'Not Applicable',Medium
Always,'3 or more',No,'Not Applicable',Low
Sometimes,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Rarely,1,No,'Not Applicable',Low
Rarely,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Bought from someone',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Unknown,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Always,2,No,'Not Applicable',Medium
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Sometimes,'3 or more',Yes,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',High
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Medium
Sometimes,'3 or more',Yes,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',Yes,'Not Applicable',Medium
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Sometimes,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,2,No,None,Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,2,Yes,'Not Applicable',Low
'Most of the time','3 or more',Yes,'Not Applicable',Low
Always,'3 or more',Yes,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,1,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time',2,Yes,Stole,High
Always,1,No,'Not Applicable',Low
Rarely,'3 or more',No,'Not Applicable',Low
Sometimes,0,Yes,None,High
Rarely,0,No,'Not Applicable',Low
Sometimes,2,No,'Not Applicable',Medium
Always,2,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Medium
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Sometimes,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Rarely,'3 or more',No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Rarely,1,No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Medium
Always,'3 or more',No,'Not Applicable',Low
Rarely,'3 or more',Yes,'Not Applicable',Low
Rarely,2,Yes,'Not Applicable',High
'Most of the time',1,Yes,'Not Applicable',Medium
'Most of the time','3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',Yes,Friend,High
Rarely,'3 or more',No,'Not Applicable',Low
Always,'3 or more',Yes,'Not Applicable',Low
Always,'3 or more',Yes,'Not Applicable',Low
Rarely,'3 or more',No,'Not Applicable',Low
Rarely,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Rarely,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Sometimes,'3 or more',No,None,Low
Sometimes,'3 or more',No,'Not Applicable',Low
Always,1,No,'Not Applicable',Low
'Most of the time',Unknown,No,'Not Applicable',Medium
Sometimes,'3 or more',Yes,'Gave someone else money',High
Always,'3 or more',No,'Not Applicable',Medium
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Sometimes,'3 or more',No,'Not Applicable',High
Always,'3 or more',No,'Not Applicable',Low
Sometimes,'3 or more',No,'Not Applicable',Low
Sometimes,'3 or more',No,'Not Applicable',Low
Always,1,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time',2,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Medium
Always,'3 or more',No,'Not Applicable',Medium
Always,'3 or more',No,'Not Applicable',Low
Sometimes,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',Yes,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',High
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',Yes,None,Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',Yes,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time',1,No,'Not Applicable',Low
Always,0,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',High
'Most of the time','3 or more',No,'Not Applicable',Low
Rarely,'3 or more',Yes,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,1,No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Medium
Always,'3 or more',No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,1,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Sometimes,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',High
Always,'3 or more',No,'Not Applicable',Low
Sometimes,'3 or more',No,'Not Applicable',High
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Sometimes,1,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',High
'Most of the time','3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Sometimes,2,No,'Not Applicable',Low
Sometimes,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,0,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Rarely,'3 or more',No,'Not Applicable',Low
Sometimes,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Medium
Always,'3 or more',Yes,'Bought from someone',Medium
Rarely,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Sometimes,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Medium
Sometimes,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Always,1,No,'Not Applicable',Low
Always,2,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Sometimes,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Rarely,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Sometimes,'3 or more',No,'Not Applicable',Low
Rarely,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Rarely,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Sometimes,'3 or more',No,'Not Applicable',Low
Never,'3 or more',No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,0,No,'Not Applicable',Low
'Most of the time','3 or more',No,'Not Applicable',Medium
Sometimes,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Medium
'Most of the time',2,No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
Always,'3 or more',No,'Not Applicable',Low
